"Artifact","OriginalJar","SHA256"
"mod0001","ad_astra-forge-1.20.1-1.15.20.jar","99E274894AF7C3B01622A74775A9960B5857B35951888414E733F8C2EC683F26"
"mod0002","AI-Improvements-1.20-0.5.2.jar","575A4A8E00F982C064D54BB3E73E5CDA2D14414DE054A471A3DAF3F58BDF560A"
"mod0003","AmbientSounds_FORGE_v6.3.8_mc1.20.1.jar","41688A2BA90E5B07BEB0E1844CFD0B21A4294B1073DE144AE0A7F519B336A18B"
"mod0004","architectury-9.2.14-forge (1).jar","218B471D0B8A1F6CDA14CFC1BEB9EEB0DF54304500ACC6C5613D9B88EC65D9AF"
"mod0005","athena-forge-1.20.1-3.1.2.jar","64EEC9CFFB8847A459536096AC396B135FFB07C7D9D13C6A47D9CD7B251276AB"
"mod0006","awcapi-neoforge-1.20.1-1.0.2.jar","DAFC56D8114B3CE3F29673CCBFFDBFEA7727925CC18F1D890DE95ADB941B64AE"
"mod0007","balm-forge-1.20.1-7.3.42.jar","1ABE13B5DE575AF91EBC073B19E4E2CFEDBE795B15F406E9516ED52CBD2DE3A6"
"mod0008","botarium-forge-1.20.1-2.3.4.jar","470810A364FF4AD4D4FCD4E55798263938FC893970EACECC58E8B741A392B1CF"
"mod0009","BrewinAndChewin-1.20.1-3.2.1.jar","D06EDC7A145E8808903B7BD06E0639458A817FBC4EE589BE239C0AF77A6367DB"
"mod0010","Chunky-1.3.146.jar","996A3C9B53E6C0E0850FB9E78D3546D2C37A1B789DDAF529B17E4FE62AB23141"
"mod0011","citadel-2.6.3-1.20.1.jar","56C7AB87348A5292583AAC787B6CF11B5193E77F02AF1D17EA75A96F8640B3CE"
"mod0012","Clumps-forge-1.20.1-12.0.0.4.jar","1D1CFCF386F182B1D0BDBE4BD4FC57B96234E8C7468E95E1575AD4DD6433243A"
"mod0013","cofh_core-1.20.1-11.0.2.56.jar","D7CD3EC8083E294E17CB50FE607B416C1DC83CE885E53BA3995D86E028F790E0"
"mod0014","common-networking-forge-1.0.6-1.20.1.jar","AEFB6CE6C0EB24F2BB76F46D680DD357F0748DAE31456F3860BD6CC5D4AB4490"
"mod0015","Corgilib-Forge-1.20.1-4.0.3.4.jar","9E638C7E73D997BB4ECBA4AA40DE90E89DD15FDBC4235FB997EED9AD43C10CD3"
"mod0016","coroutil-forge-1.20.1-1.3.7.jar","11448808A42C17425CF2EA39701841008683D6AD6E2838A34EEF0253251A870F"
"mod0017","CraftTweaker-forge-1.20.1-14.0.60.jar","6BF5887393268E88EC76DFF95AF4742277BF955D5130464D4CCF792AED9AB6E8"
"mod0018","CreativeCore_FORGE_v2.12.39_mc1.20.1.jar","3565DDEA132785A044DDFCA670610A870C976E52D47A957D0A5F1DB78563D046"
"mod0019","cupboard-1.20.1-3.9.jar","E24E1D4C6FFBE8FCA9B8DA4AAD14F3EA9B685B2830DDC33D67AB51AAEA0C3D51"
"mod0020","CustomNPCs-1.20.1-GBPort-Unofficial-1.20.1.20260711.jar","604916A1CD0949FD426CAB5FAD8F839037D7E6F74D9F18A9AFBEAA7731EDFC38"
